protocol,pathway,test,sample,time_s,kc_class,d,n,D,N,weight
fig7_reversal,both,2,end,960.0,shared,0.9999975019496742,0.9438652371658662,0.9999974875420525,0.6426918341378491,4.127194153920087e-06
fig7_reversal,both,2,end,960.0,neither,0.0,0.0,0.0,0.0,1.0
fig7_reversal,both,3,start,1260.0,a_only,0.7710496596779011,0.8043088994720129,0.7712851209418502,0.7198916004938929,0.3933647994000884
fig7_reversal,both,3,start,1260.0,b_only,0.9864314409877991,0.6171071140248879,0.9858671509918503,0.18547992942670868,0.01675420884477964
fig7_reversal,both,3,start,1260.0,shared,0.9999999661050567,0.9785063986549101,0.9999999646947778,0.7716062061882443,6.254695074300644e-08
fig7_reversal,both,3,start,1260.0,neither,0.0,0.0,0.0,0.0,1.0
fig7_reversal,both,3,last_30s_start,1290.0,a_only,0.7710496596779011,0.8043088994720129,0.7711362810361002,0.7240086807471511,0.39456303820183963
fig7_reversal,both,3,last_30s_start,1290.0,b_only,0.9864314409877991,0.6171071140248879,0.9862238502994308,0.20653063562069846,0.01662134665463362
fig7_reversal,both,3,last_30s_start,1290.0,shared,0.9999999661050567,0.9785063986549101,0.9999999655862442,0.7816968476457566,6.131488030470257e-08
fig7_reversal,both,3,last_30s_start,1290.0,neither,0.0,0.0,0.0,0.0,1.0
fig7_reversal,both,3,end,1320.0,a_only,0.7710496596779011,0.8043088994720129,0.7710815258947488,0.7279249686270811,0.3955539471864755
fig7_reversal,both,3,end,1320.0,b_only,0.9864314409877991,0.6171071140248879,0.9863550726413697,0.22655468675894094,0.016736249602213316
fig7_reversal,both,3,end,1320.0,shared,0.9999999661050567,0.9785063986549101,0.9999999659141962,0.7912953627122291,6.105774236386949e-08
fig7_reversal,both,3,end,1320.0,neither,0.0,0.0,0.0,0.0,1.0
fig7_reversal,both,4,start,1860.0,a_only,0.45840486618393755,0.5840481328614022,0.4585449136486537,0.6804628529856317,0.909895159173565
fig7_reversal,both,4,start,1860.0,b_only,0.9999975019496742,0.9438652371658662,0.9999973954909497,0.6110171508414255,4.1959087495857176e-06
fig7_reversal,both,4,start,1860.0,shared,0.9999999999937598,0.9968488884015556,0.9999999999934939,0.9109636703658486,1.243297609429866e-11
fig7_reversal,both,4,start,1860.0,neither,0.0,0.0,0.0,0.0,1.0
fig7_reversal,both,4,last_30s_start,1890.0,a_only,0.45840486618393755,0.5840481328614022,0.45845638676699485,0.6757606515985705,0.907497478180385
fig7_reversal,both,4,last_30s_start,1890.0,b_only,0.9999975019496742,0.9438652371658662,0.9999974627856981,0.6272503435653045,4.128682844430916e-06
fig7_reversal,both,4,last_30s_start,1890.0,shared,0.9999999999937598,0.9968488884015556,0.9999999999936618,0.9151523418763317,1.2138527077418571e-11
fig7_reversal,both,4,last_30s_start,1890.0,neither,0.0,0.0,0.0,0.0,1.0
fig7_reversal,both,4,end,1920.0,a_only,0.45840486618393755,0.5840481328614022,0.45842381954724143,0.6712877792792696,0.9051296519394398
fig7_reversal,both,4,end,1920.0,b_only,0.9999975019496742,0.9438652371658662,0.9999974875420525,0.6426918341378491,4.127194153920087e-06
fig7_reversal,both,4,end,1920.0,shared,0.9999999999937598,0.9968488884015556,0.9999999999937237,0.919136729466671,1.2045102425496374e-11
fig7_reversal,both,4,end,1920.0,neither,0.0,0.0,0.0,0.0,1.0
