body_id,graph_index,type,instance,kc_family,home_eligible_edges,away_eligible_edges,raw_events_across_32_histories,weighted_event_mass_across_32_histories,minimum_recorded_susceptibility,original_home_gain_sum_across_32_histories,candidate_home_gain_sum_across_32_histories
43462,29893,KCa'b'-ap1,KCa'b'-ap1_R,apbp,2,0,27,26.849801613023814,0.7697945240975765,0.004585862159729004,0.00412142276763916
43474,29903,KCab-m,KCab-m_R,ab,2,0,49,48.20639053146904,0.35749079325031546,-0.018055319786071777,-0.020061373710632324
43580,30001,KCa'b'-ap2,KCa'b'-ap2_L,apbp,0,0,0,0.0,1.0,0.0,0.0
43597,30012,KCg-m,KCg-m_R,gamma,1,2,3,3.0,0.0,-0.0019088983535766602,-0.0019088983535766602
43616,30026,KCg-m,KCg-m_R,gamma,1,2,53,51.271726464315314,0.0,-0.001705765724182129,-0.004308938980102539
43639,30047,KCg-m,KCg-m_L,gamma,1,2,85,83.51399640272473,0.0,-0.018217623233795166,-0.019699156284332275
43658,30064,KCg-m,KCg-m_R,gamma,1,2,58,56.244628847856355,0.0,-0.0007280707359313965,-0.002913355827331543
43775,30164,KCg-m,KCg-m_R,gamma,1,2,67,66.20724125441625,0.0,-0.01012486219406128,-0.010639786720275879
43811,30199,KCg-m,KCg-m_L,gamma,1,2,155,152.45998476881329,0.23253795578406777,-0.008700072765350342,-0.011541903018951416
43850,30231,KCg-m,KCg-m_R,gamma,1,2,57,55.55785787489244,0.46560834082693703,0.00031059980392456055,-0.0017076730728149414
43856,30236,KCa'b'-ap2,KCa'b'-ap2_L,apbp,1,0,0,0.0,1.0,0.0,0.0
43867,30246,KCg-d,KCg-d_R,gamma,1,2,0,0.0,1.0,0.0,0.0
43876,30255,KCg-m,KCg-m_R,gamma,1,2,3,3.0,0.0,-0.003108501434326172,-0.003108501434326172
43889,30267,KCa'b'-ap2,KCa'b'-ap2_R,apbp,0,0,0,0.0,1.0,0.0,0.0
43899,30275,KCa'b'-ap1,KCa'b'-ap1_R,apbp,1,0,31,30.794943855893663,0.3736966081553382,-0.0023917555809020996,-0.0027314424514770508
